DISASTER EVENT NO.,DISASTER TYPE,YEAR (DATE OF OCCURENCE),ACTUAL DATE OF OCCURENCE,MONTH (DATE OF OCCURENCE),QUARTER (DATE OF OCCURENCE),HYDROMETEOROLOGICAL EVENTS / GENERAL DISASTER EVENTS,NAME OF DISASTER,PROVINCE AFFECTED,MUNICIPALITY AFFECTED,COMMODITY,NUMBER OF FARMERS AFFECTED,Totally Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Partially Damaged (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),TOTAL (AREA AFFECTED (HA.) / MORTALITY HEADS / NO. OF UNITS AFFECTED),Total Value (Based on Cost of Production / Inputs),Volume (MT) - Based on Farm Gate Price ,Total Value - Based on Farm Gate Price ,GRAND TOTAL,source_row_number,error_reason
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,Alimodian,01 - Rice,3,2,0,2,19630,0,0,19630,351,"Unparseable date: 'July 25 and 28, 2012'"
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,San Joaquin,01 - Rice,4,2,0,2,0,3.2,44800,,352,"Unparseable date: 'July 25 and 28, 2012'; Missing or zero Grand Total for PHP loss."
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,Janiuay,01 - Rice,18,0,8,8,78520,0,0,,353,"Unparseable date: 'July 25 and 28, 2012'; Missing or zero Grand Total for PHP loss."
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,Pavia,03 - HVC,3,40.2,,40.2,,2.6,26400,26400,354,"Unparseable date: 'July 25 and 28, 2012'"
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,Alimodian,03 - HVC,25,2262.2,,2262.2,,50.65,627750,,355,"Unparseable date: 'July 25 and 28, 2012'; Missing or zero Grand Total for PHP loss."
13,FLOODING / TYPHOON / DRY SPELL,2012,"July 25 and 28, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,Rain induced Landslide,ILOILO,Tubungan,03 - HVC,6,0.2,,0.2,,0.8,36000,,356,"Unparseable date: 'July 25 and 28, 2012'; Missing or zero Grand Total for PHP loss."
14,FLOODING / TYPHOON / DRY SPELL,2012,"July 20-23, 2012",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,TY Ferdie 2012 induced Flash Flooding,NEGROS OCCIDENTAL,Valladolid,01 - Rice,48,0,48,48,0,17.38,260700,,358,Missing or zero Grand Total for PHP loss.
16,FLOODING / TYPHOON / DRY SPELL,2012,"March 26-28, 2012",(03) MARCH,1ST QUARTER,ITCZ,ITCZ induced Flash Flooding,CAPIZ,Cuartero,02 - Corn,120,20,75,90,60951,54.2,542000,602951,412,Area inconsistency: Partial(75.0) + Totally(20.0) != Total(90.0).
17,FLOODING / TYPHOON / DRY SPELL,2013,"October 4-6, 2013",(10) OCTOBER,4TH QUARTER,EASTERLIES,Easterlies induced Flooding,NEGROS OCCIDENTAL,City of Sipalay,09 - Fisheries,1,0,0,0,0,0,0,0,449,Missing or zero Grand Total for PHP loss.
17,FLOODING / TYPHOON / DRY SPELL,2013,"October 4-6, 2013",(10) OCTOBER,4TH QUARTER,EASTERLIES,Easterlies induced Flooding,NEGROS OCCIDENTAL,Binalbagan,09 - Fisheries,1,0,0,0,0,0,0,0,450,Missing or zero Grand Total for PHP loss.
19,FLOODING / TYPHOON / DRY SPELL,2013,"November 8, 2013",(11) NOVEMBER,4TH QUARTER,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,ILOILO,Calinog,01 - Rice,65,25.45,1,25.45,116700,23.4,351000,467700,645,Area inconsistency: Partial(1.0) + Totally(25.45) != Total(25.45).
19,FLOODING / TYPHOON / DRY SPELL,2013,"November 8, 2013",(11) NOVEMBER,4TH QUARTER,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,ILOILO,Janiuay,02 - Corn,131,62,42.75,100.75,239211.56,154.75,1857000,2096211.56,691,Area inconsistency: Partial(42.75) + Totally(62.0) != Total(100.75).
19,FLOODING / TYPHOON / DRY SPELL,2013,"November 8, 2013",(11) NOVEMBER,4TH QUARTER,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,ILOILO,Badiangan,03 - HVC,107,383,2760,3120.63,0,879.46,2996626,2996626,710,Area inconsistency: Partial(2760.0) + Totally(383.0) != Total(3120.63).
19,FLOODING / TYPHOON / DRY SPELL,2013,"November 8, 2013",(11) NOVEMBER,4TH QUARTER,TROPICAL CYCLONE,SuTY Yolanda 2013 induced Flooding,ILOILO,Calinog,03 - HVC,1505,822.42,163179.75,163807.17,30000,3573.41,40576070,40606070,718,Area inconsistency: Partial(163179.75) + Totally(822.42) != Total(163807.17).
21,FLOODING / TYPHOON / DRY SPELL,2014,"July 15, 2014",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,ANTIQUE,,01 - Rice,0,1375.15,1430.85,0,0,0,0,0,869,Missing or zero Grand Total for PHP loss.
21,FLOODING / TYPHOON / DRY SPELL,2014,"July 15, 2014",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,NEGROS OCCIDENTAL,,01 - Rice,0,682.49,829.34,0,0,0,0,0,870,Missing or zero Grand Total for PHP loss.
21,FLOODING / TYPHOON / DRY SPELL,2014,"July 15, 2014",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,NEGROS OCCIDENTAL,,02 - Corn,0,49.25,49.25,0,0,0,0,0,871,Missing or zero Grand Total for PHP loss.
21,FLOODING / TYPHOON / DRY SPELL,2014,"July 15, 2014",(07) JULY,3RD QUARTER,TROPICAL CYCLONE,TY Glenda 2014 induced Flooding,NEGROS OCCIDENTAL,,03 - HVC,0,12.96,12.96,0,0,0,0,0,872,Missing or zero Grand Total for PHP loss.
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,AKLAN,,01 - Rice,231,421,122.75,122.75,0,0,0,10412.5,875,Area inconsistency: Partial(122.75) + Totally(421.0) != Total(122.75).
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,ANTIQUE,,01 - Rice,1944,5712,1208.2,1208.2,0,0,0,-,876,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(1208.2) + Totally(5712.0) != Total(1208.2).
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,CAPIZ,,01 - Rice,25250,26665,10607,11191,0,0,0,5956800,877,Area inconsistency: Partial(10607.0) + Totally(26665.0) != Total(11191.0).
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,CAPIZ,,02 - Corn,3801,4030,0,1270,0,0,0,5520000,878,Area inconsistency: Partial(0.0) + Totally(4030.0) != Total(1270.0).
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,CAPIZ,,03 - HVC,-,-,0,16020,0,0,0,-,879,Missing or zero Grand Total for PHP loss.
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,NEGROS OCCIDENTAL,,02 - Corn,-,-,53.44,0,0,0,0,-,881,Missing or zero Grand Total for PHP loss.
23,FLOODING / TYPHOON / DRY SPELL,2014,"December 7-8, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Ruby 2014 induced Flooding,NEGROS OCCIDENTAL,,03 - HVC,-,-,-,0,0,0,0,-,882,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dao,01 - Rice,,664,422,1086,1978800,1982.1,33695700,,884,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dumalag,01 - Rice,,28,606,634,285600,653.2,11104400,,885,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dumarao,01 - Rice,,16,520,536,163200,520,8840000,,886,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Ivisan,01 - Rice,,4,35,39,40800,19.05,323850,,887,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Jamindan,01 - Rice,,159,475,644,826200,611.75,10399750,,888,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(475.0) + Totally(159.0) != Total(644.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Ma-ayon,01 - Rice,,61,825,886,622200,991.25,16851250,,889,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Mambusao,01 - Rice,,311,860,1171,3172200,857.2,14572400,,890,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Panay,01 - Rice,,566,55,621,571200,1827.25,31063250,,891,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Panitan,01 - Rice,,116,774,890,1183200,760,12919150,,892,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Pilar,01 - Rice,,30,350,380,153000,356.7,6063900,,893,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Pontevedra,01 - Rice,,465,126,591,2244000,918.75,15618750,,894,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,President Roxas,01 - Rice,,4,33,37,40800,22.7,385900,,895,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,City of Roxas,01 - Rice,,119,286,405,357000,598.25,10170250,,896,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Sapian,01 - Rice,,42,20,62,428400,15.75,267750,,897,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Sigma,01 - Rice,,1028,328,1356,5640600,1793.45,30488650,,898,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Tapaz,01 - Rice,,80,713,793,816000,472.65,8035050,,899,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Cuartero,02 - Corn,15,,40,55,,123,1476000,3586894.74,900,Area inconsistency: Partial(40.0) + Totally(0.0) != Total(55.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Pontevedra,02 - Corn,,189473.68,105,105,189473.68,117,1404000,,901,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(105.0) + Totally(189473.68) != Total(105.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Jamindan,02 - Corn,35,,45,80,,198.25,2379000,,902,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(45.0) + Totally(0.0) != Total(80.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dumarao,02 - Corn,,663157.89,150,150,663157.89,,,,903,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(150.0) + Totally(663157.89) != Total(150.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dumalag,02 - Corn,,236842.11,50,50,236842.11,,,,904,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(50.0) + Totally(236842.11) != Total(50.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Ma-ayon,02 - Corn,,1242947.37,246,246,1242947.37,,,,905,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(246.0) + Totally(1242947.37) != Total(246.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Sigma,02 - Corn,,71052.63,15,15,71052.63,,,,906,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(15.0) + Totally(71052.63) != Total(15.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Panitan,02 - Corn,,107368.42,20,20,107368.42,,,,907,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(20.0) + Totally(107368.42) != Total(20.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Dao,02 - Corn,,469736.84,85,85,469736.84,,,,908,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(85.0) + Totally(469736.84) != Total(85.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,CAPIZ,Tapaz,02 - Corn,,606315.79,128,128,606315.79,,,,909,Missing or zero Grand Total for PHP loss.; Area inconsistency: Partial(128.0) + Totally(606315.79) != Total(128.0).
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,Banate,01 - Rice,107,,120,120,,309.6,5263200,,911,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,San Rafael,01 - Rice,254,,285,285,,299.25,5087250,,912,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,Carles,01 - Rice,18,,20,20,,7.5,120000,,913,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,Balasan,01 - Rice,36,,40,40,,105.6,1689600,,914,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,San Enrique,01 - Rice,78,,77.5,77.5,5130,78.1,1249568,,915,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,Cabatuan,01 - Rice,5,,5,5,,5,100000,,916,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,ILOILO,Batad,01 - Rice,17,,17,17,2180,4.86,97240,,917,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Cadiz,01 - Rice,,42.65,2.1,44.75,526904,,,,920,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Cauayan,01 - Rice,,3,2,5,,13.6,217600,,921,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Sipalay,01 - Rice,,,20,20,,16,272000,,922,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Ilog,01 - Rice,,,50,50,179984,40,680000,,923,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,San Enrique,01 - Rice,,,325.95,325.95,736806,218.7,3717832,,924,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Isabela,01 - Rice,,,20,20,90000,30,510000,,925,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Binalbagan,01 - Rice,,,59,59,117010.33,26.3,420849.6,,926,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Hinigaran,01 - Rice,,,856.96,856.96,2044932,500.01,8000128,,927,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Pulupandan,01 - Rice,,2.5,38.25,40.75,45600,51.4,822400,,928,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Valladolid,01 - Rice,,,338.02,338.02,549487.41,109.09,1745408,,929,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Enrique B. Magalona,01 - Rice,,0.65,20.15,20.8,41400,15.85,253600,,930,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of San Carlos,01 - Rice,,,30.25,30.25,,108.34,1733400,,931,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Hinoba-an,01 - Rice,,,113,113,,133.8,2408400,,932,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,City of Victorias,01 - Rice,,,69.95,69.95,308610,137.2,2332400,,933,Missing or zero Grand Total for PHP loss.
24,FLOODING / TYPHOON / DRY SPELL,2014,"December 29, 2014",(12) DECEMBER,4TH QUARTER,TROPICAL CYCLONE,TY Seniang 2014 induced Flooding,NEGROS OCCIDENTAL,Cauayan,02 - Corn,,,5.6,5.6,,4.2,63000,,935,Missing or zero Grand Total for PHP loss.
